frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_1.03.56 AM_000000.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,0,0,999.0,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000003.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,3,60,0.31,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000006.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,6,120,0.46,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000009.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,9,180,0.66,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000012.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,12,240,0.78,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000015.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,15,300,3.14,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000018.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,18,360,6.67,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000021.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,21,420,9.49,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000024.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,24,480,1.99,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000027.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,27,540,4.1,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000030.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,30,600,6.49,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000033.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,33,660,8.87,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000036.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,36,720,1.89,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000039.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,39,780,4.22,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000042.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,42,840,6.72,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000045.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,45,900,8.47,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000048.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,48,960,1.95,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000051.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,51,1020,5.43,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000054.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,54,1080,8.1,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000057.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,57,1140,2.29,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000060.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,60,1200,4.32,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000063.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,63,1260,5.25,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000066.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,66,1340,7.35,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000069.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,69,1400,8.32,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000072.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,72,1460,0.93,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000075.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,75,1520,2.97,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000078.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,78,1580,4.33,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000081.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,81,1640,5.71,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000084.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,84,1700,6.77,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000087.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,87,1780,8.01,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000090.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,90,1840,2.86,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000093.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,93,1940,6.51,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000096.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,96,2000,8.37,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000099.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,99,2080,4.11,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000102.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,102,2160,7.2,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000105.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,105,2220,8.81,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000108.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,108,2300,3.14,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000111.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,111,2380,5.61,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000114.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,114,2440,7.46,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000117.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,117,2540,9.03,True
Screen_Recording_2026-07-03_at_1.03.56 AM_000120.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,120,2600,2.85,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000123.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,123,2680,4.95,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000126.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,126,2760,6.56,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000129.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,129,2820,7.39,False
Screen_Recording_2026-07-03_at_1.03.56 AM_000132.jpg,Screen Recording 2026-07-03 at 1.03.56 AM.mov,Screen_Recording_2026-07-03_at_1.03.56 AM,132,2900,7.87,False
